122.53, 380.07, 583.13, 468.53, 703.33, 553.27, 634.53, 854.80, 367.93, 129.13, 699.47, 95.60, 72.73, 39.53
19.33, 34.53, 16.53, 41.07, 41.20, 15.80, 25.60, 110.00, 304.00, 148.47, 344.13, 104.20, 102.33, 48.33
26.07, 92.13, 154.20, 159.40, 170.93, 64.53, 44.20, 47.47, 20.13, 81.47, 14.00, 26.00, 58.00, 27.00
7.80, 18.47, 15.60, 28.33, 26.40, 8.13, 18.53, 32.00, 16.80, 42.40, 10.60, 15.00, 26.27, 13.00
14.40, 29.93, 34.60, 96.00, 196.80, 202.07, 306.06, 519.93, 290.20, 119.27, 472.93, 85.13, 75.33, 39.87
19.47, 43.27, 33.20, 83.00, 125.33, 74.33, 59.07, 97.93, 40.13, 104.07, 50.07, 35.87, 82.93, 39.67
54.40, 117.27, 110.67, 222.67, 358.53, 269.87, 240.86, 486.80, 279.87, 123.60, 488.80, 79.80, 84.40, 43.60
8.80, 16.13, 8.60, 33.80, 38.00, 15.20, 20.80, 38.40, 21.67, 11.00, 18.13, 3.00, 7.00, 4.00
28.93, 63.20, 65.53, 138.47, 265.87, 237.33, 269.27, 500.13, 309.87, 132.73, 494.20, 93.27, 85.53, 43.47
11.80, 21.60, 10.27, 42.93, 48.33, 19.53, 22.87, 44.20, 25.00, 12.93, 25.47, 4.40, 8.60, 5.20
132.47, 415.80, 625.00, 521.80, 784.60, 626.00, 746.67, 1041.9, 464.00, 166.67, 827.73, 117.27, 94.73, 49.87
5.20, 8.20, 2.20, 18.27, 21.07, 7.00, 16.33, 26.33, 16.00, 7.40, 7.20, 1.53, 3.53, 3.00
5.60, 11.00, 7.60, 30.27, 32.47, 9.80, 15.93, 22.80, 12.13, 20.53, 4.20, 2.00, 18.67, 9.93
17.33, 33.20, 30.73, 119.74, 249.73, 236.27, 283.60, 579.67, 365.93, 162.87, 586.67, 112.40, 110.33, 56.40
16.40, 30.53, 17.40, 66.47, 112.13, 66.47, 49.20, 89.00, 36.80, 72.53, 46.80, 21.80, 64.60, 31.87
