2.00, 6.47, 10.00, 8.00, 12.00, 9.87, 11.33, 15.00, 6.67, 2.00, 12.00, 2.00, 1.00, 1.00
0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.20, 2.00, 5.20, 3.00, 6.00, 2.00, 2.00, 1.00
0.00, 1.80, 3.00, 3.00, 3.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 1.00, 2.00, 3.00, 3.00, 5.00, 9.00, 5.00, 2.00, 8.00, 1.00, 1.00, 1.00
0.00, 1.00, 1.00, 1.00, 2.00, 1.00, 1.00, 2.00, 1.00, 2.00, 1.00, 1.00, 1.00, 1.00
1.00, 2.00, 2.00, 4.00, 6.00, 4.80, 4.07, 9.00, 5.00, 2.00, 8.47, 1.00, 1.00, 1.00
0.00, 0.00, 0.00, 0.67, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 1.00, 1.00, 2.00, 4.20, 4.00, 4.60, 8.40, 5.20, 2.00, 8.00, 2.00, 1.00, 1.00
0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2.00, 7.00, 10.40, 9.00, 13.00, 11.00, 13.00, 18.20, 8.00, 3.00, 14.00, 2.00, 2.00, 1.00
0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.33, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.40, 0.40, 2.00, 4.00, 4.00, 5.00, 10.00, 6.20, 3.00, 10.00, 2.00, 2.00, 1.00
0.00, 0.60, 0.00, 1.00, 2.00, 1.00, 1.00, 2.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00
